"guild_id","role_id"
"925729625580113951","925737886400266260"
"953285654140293240","953321046960910347"
"950770080684331088","951808785368883200"
"906867698447822889","922755581947834379"
"961145157787451452","961148200197169172"
"803697848163631105","803905294224064572"
"961971433486041198","961974803105980497"
"943483956664356894","943497254482894908"
"957272886857576559","968230122589155379"
"921045773456642108","921074989103448094"
"882684482551943178","882684482551943184"
"743767102971707453","877525919722508299"
"952132126378172426","952132126378172435"
"966811756376776724","967085688942133288"
"968162980946673756","968162981236047939"
"877291515838361690","972815835959799828"
"966978675251744779","966978676010934278"
"960155309589016618","961950465568940036"
"947853231495721030","972950169039552532"
"975466086730436628","975486432095387759"
"979023326443892746","979025954720604170"
"969657096570302514","980054876413366302"
"979792377352962148","980479055772131398"
"983413416209285190","983413416209285191"
"984083592110039120","984121653640441896"
"984812138054967296","984815864836681768"
"986265753005199390","986265753068122120"
"984928443173068880","986361174893408287"
"973289734057132092","986986062704422962"
"942093754129600572","972159775875936267"
"989875687412346940","989896242874187786"
"853662631130300458","853671808582811670"
"992337727297163278","992338685745954816"
"991619253369327706","991630836245991424"
"971441719222599720","977499032731652158"
"984828890755268639","984830995666698290"
"994575472514056262","994575472627306672"
"983090527635406868","983298172333989938"
"996816540806696980","996816540865396771"
"944785491956477952","944787887268974633"
"965566481322606592","988845972534734869"
"999711820262674522","999717408665239602"
"994332164768403596","994464353791250533"
"1000400822380798053","1000400822422736941"
"909422299587964988","1001247495646613544"
"1002497204008783922","1002497204092674060"
"989961082833608795","990210498328948766"
"1004083404360392754","1004089975912026162"
"1000832197319720960","1003012871346720890"
"993465450484731925","1003673377946476634"
"1005477359547318354","1005478936949567568"
"775145940020887572","875396848137957386"
"993957404259664012","994023299027845180"
"1006840596620648509","1006840596767449145"
"957242463284764732","1007359893939961887"
"983384134439292938","985514693160480848"
"1009496911348256799","1009856942719643838"
"1006662489213239406","1006825844288794714"
"1012026771018883172","1012030100679704637"
"1012420010016260221","1012420010305663063"
"983806829165420596","983815445855473685"
"991083033341886524","1012969940980080654"
"982644059464159282","987586892906238032"
"1014227449061580810","1014240884826587197"
"1003672037199462471","1003672037199462478"
"961549776887898132","972500895109644398"
"1016631062610329610","1016637136474222656"
"858329106726518794","979483477235875870"
"1018445925972201523","1019335604435169310"
"1003577766173753374","1018098955491475486"
"1014445347713593354","1014471367653077002"
"1021478293171613716","1021759354040488067"
"810089469314990101","1022186037629440050"
"1008758902990569562","1008758903158362186"
"1023200759447298129","1023204417652146187"
"1093234151278268436","1093234151341183036"
"1103052674993238148","1103053459013517443"
"1076501989472604160","1097507199858774077"
"1079807502113316896","1079837604108849244"
"1063105300783169608","1063139886573559859"
"665125667997876225","731030285533315102"
"1023249968703741992","1023290864614780988"
"1105475162448609412","1105734885479546920"
"945006253258711090","1095013894256336916"
"1108252522583429172","1108368883649351750"
"1109816514447671398","1110326490517737523"
"1082004319970283600","1082007146281050202"
"1112793054097715323","1113188581272469524"
"1104418518860054588","1104736265917710336"
"829790315636326400","829805509258772501"
"1013540946052382942","1013540946052382947"
"1114152687341142059","1114152687341142061"
"1112653905734668318","1114456031095955517"
"1112127101198422056","1112131364695855184"
"1110616763655278706","1110634894394150943"
"1096139477983965347","1096589900263993344"
"1096501692087939177","1096501692515749906"
"1061674451965583420","1105164097844154368"
"1117034306477490269","1117428988906835968"
"937398557286228010","937404100197380096"
"1110990601836580924","1111019844280791111"
"1104109477709479976","1114869358590697593"
"1120351802987122798","1120351803033276472"
"1119907005956636692","1120371476550398004"
"1023650258032525322","1076119203066683513"
"1120634356558479382","1124004535157928016"
"1061892417760022549","1125751315704840242"
"975118914667315302","975462912271454299"
"1126300307899547721","1126314236675625122"
"1072465470336274523","1072468081118543932"
"1126819939152580608","1128686039414886420"
"1129150316978376797","1129150317041291286"
"1129739188745551922","1130582387600916570"
"1117524254070689914","1117527958530314381"
"1120317309123305562","1120796448355790878"
"937398557286228010","1134838633300508672"
"937398557286228010","1134839606672642111"
"1048913756547207198","1048913756547207207"
"1127945414377750528","1127951189787541514"
"1029103692948967485","1134099842755465266"
"1135973373344747580","1135986457492852776"
"1042151841229717524","1092524358305595422"
"1126872405256716349","1131586650649153576"
"1137377224861950082","1137377225193299983"
"1110616763655278706","1110624264995999804"
"921429939364966460","1122152026642595841"
"1117053462551744615","1117171248200421437"
"1089141935442231346","1089160625546088559"
"1120771161870049372","1124688331381407785"
"1144247722258481153","1144253833678168094"
"1010715587581853897","1146458319398109215"
"1062819269387231332","1062819269424992329"
"1138535215288041514","1138535215468384364"
"1142119099309228092","1142416016262041744"
"1093901872592588940","1093929758263361687"
"1159145330105925652","1159192804132655134"
"1050025789128708158","1146007411375751268"
"1157013487378247781","1157251195291840524"
"1136271955192991857","1136714462825558016"
"1161634391102062682","1161647118071644170"
"1161646352237862994","1161875125709316166"
"1104143779801333922","1104295424329785455"
"1169205352731000852","1169212706579021915"
