"guildID","status"
"925729625580113951","1"
"1011278242419839136","1"
"983806829165420596","1"
"902646143303954562","1"
"771473974328426516","1"
"858329106726518794","1"
"1019726770695589888","1"
"1020315515111100476","1"
"1014116444897804408","1"
"1008758902990569562","1"
"960991044302946354","1"
"937398557286228010","1"
"1100073942519140423","1"
"1061392171074334794","1"
"1102163917062549645","1"
"1079807502113316896","1"
"1103403786313154700","1"
"1034911293586554890","1"
"1096705029341188147","1"
"991404733581496380","1"
"1069979168319733841","1"
"1093910347812982804","1"
"811552284936372235","1"
"995408667845329007","1"
"1099774247427113090","1"
"1106639204848508942","1"
"1023249968703741992","1"
"1104829063178227772","1"
"1072523029046886470","1"
"1084192787198640139","1"
"1108708098929066065","1"
"1045359956406317127","1"
"1090990406243733575","1"
"1078380618053861448","1"
"1094645033006792704","1"
"1084870365584560220","1"
"983385019747799172","1"
"1113127244370546768","1"
"1060633841947131925","1"
"1112707194241171496","1"
"1057407613211512832","1"
"1016318771838853132","1"
"1110616763655278706","1"
"1100508351206543482","1"
"1114906979849211904","1"
"1113804338423414804","1"
"1107386014311391323","1"
"1116289320991608834","1"
"1061674451965583420","1"
"1117418032441081878","1"
"1117497871047082106","1"
"1117851639253053526","1"
"998185087155847228","1"
"1119628798325960794","1"
"1120073762650476677","1"
"1120351802987122798","1"
"1120705348739797034","1"
"1093103675943174195","1"
"1121499310018801705","1"
"1118574050625720410","1"
"1122083968871841854","1"
"1104361940937097216","1"
"1113860538531848223","1"
"1123634776646094868","1"
"1104102467504967803","1"
"1126659670233338019","1"
"1126984200780791829","1"
"1126193970989506640","1"
"1097921696750637166","1"
"1124045357052076084","1"
"1128682594767220746","1"
"1129450956568936599","1"
"1130862156875837510","1"
"1094927875804762212","1"
"1116016786131918888","1"
"992065012610908203","1"
"965697344341422121","1"
"1091813783191699517","1"
"1033789165072027708","1"
"1090706468573032448","1"
"1133062600071061544","1"
"1082024150048198676","1"
"803329473280737351","1"
"1089814668798869525","1"
"1124052256958988329","1"
"1127234665149890562","1"
"1135973373344747580","1"
"1136036031183994970","1"
"1137040351312498829","1"
"1137462310110232616","1"
"1065585305924669470","1"
"1125066301417734176","1"
"1139950462083285022","1"
"1095809412414849104","1"
"1141828814968717443","1"
"1141857349234065479","1"
"1141860423625359391","1"
"1141601804191289428","1"
"1141859088561618976","1"
"1141368100734906498","1"
"1048582580611588157","1"
"1142559356915818676","1"
"1143885092230537316","1"
"1063546824742420572","1"
"1084949404844298342","1"
"1135278078059352175","1"
"1125024269005508648","1"
"1050025789128708158","1"
"1055127396170346587","1"
"1141786368247345302","1"
"1043183484937703455","1"
"1151748076365684822","1"
"1137062104155820045","1"
"1152777074298339369","1"
"1148682943712198767","1"
"1153407005835415622","1"
"1154446655068836000","1"
"992410242631610408","1"
"1155923049909067866","1"
"1151931930087010314","1"
"1157439350196424816","1"
"1159519659930943579","1"
"1057014848321499236","1"
"1136079229960851479","1"
"1155139780716273854","1"
"1149386282628304916","1"
"1136271955192991857","1"
"1161634391102062682","1"
"1161646352237862994","1"
"1162684017968152716","1"
"1095805385841057822","1"
"1162126143823032401","1"
"1152211196225794150","1"
"1159129365074940004","1"
"1117840415673032814","1"
"1001915266055274689","1"
"1133861726459273276","1"
"1140345836451156070","1"
"1166435600468025486","1"
"1167117426408833044","1"
"1018926417876090921","1"
"1139566416228536340","1"
"1169387882746753146","1"
