"guildID","channelID","msgID","hostID","endtime","winners","nachrichten","level","rollenID","status","preis","custom_status","voicezeit","jointime"
"925729625580113951","971092445435682907","1000351332370219028","824378909985341451","1658572803",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000351708100165673","824378909985341451","1658572892",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000352209596329994","824378909985341451","1658573012",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000352876939464715","824378909985341451","1658573171",1,,,"934379369319792650",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000353630458748989","824378909985341451","1658573351",1,,,"934379369319792650",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000355896938995853","824378909985341451","1658573891",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000356558926004344","824378909985341451","1658577649",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000356778204200960","824378909985341451","1658577701",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000357763307810846","824378909985341451","1658577936",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000359403893047316","824378909985341451","1658578327",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000359839018516481","824378909985341451","1658578431",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000361492094386236","824378909985341451","1658575225",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000367358164082749","824378909985341451","1658576623",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000368062169628792","824378909985341451","1658576791",1,,100,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000368234488418394","824378909985341451","1658576832",1,100,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000370632292319252","824378909985341451","1658577404",1,,,"",Inaktiv,test,"","",""
"925729625580113951","971092445435682907","1000370681336307732","824378909985341451","1658577416",1,,,"",Inaktiv,test,"","",""
