"roleID","label","guildID","id","custom_id"
"1114680814198870016",Verifizierung,"1114651802235846676","105","106"
"1114662462013321296",💚Drücke um andere Kanäle zu sehen!💚,"1112127101198422056","106","107"
"1114662462013321296",Verify,"1112127101198422056","107","108"
"1102313174272843858",Voice Support,"1082650747440726046","108","109"
"1086006213206102180",Hallo,"1078011062756057208","109","110"
"1117451784965865473","","1112323817197555753","110","111"
"1117450547864293456","","1112323817197555753","110","112"
"1118077040009158781",Der News Ping📰,"1112323817197555753","112","113"
"1118077632253263912",Der Giveaway Ping🎁,"1112323817197555753","112","114"
"1119698790790746212",mann,"1119698790744600606","114","115"
"1119698790790746211",weiblich,"1119698790744600606","114","116"
"1119698790790746210",divers,"1119698790744600606","114","117"
"1120374569581154344",Livesupport Ping,"974349292695322714","117","118"
"1107721276140830784",Minecraft Bedrock Edition (German),"1079095182978469908","118","119"
"1121350028619952174",Akzeptieren,"1121350028594774046","119","120"
"1121350028619952174",Akzeptieren,"1121350028594774046","120","121"
"1091012577892507668",Master Duel,"1089328006880833626","121","122"
"1091012785229533266",YGO Omega,"1089328006880833626","121","123"
"1091012664794304522",EDOPRO,"1089328006880833626","121","124"
"1109873403613159576",test🚨,"991751333919076453","124","125"
"1091012577892507668",:purple_circle: Master Duel,"1089328006880833626","125","126"
"1091012785229533266",:blue_circle: YGO Omega,"1089328006880833626","125","127"
"1091012664794304522",:brown_circle: EDOPRO,"1089328006880833626","125","128"
"1091012577892507668",🟣 Master Duel,"1089328006880833626","128","129"
"1091012785229533266",🔵 YGO Omega,"1089328006880833626","128","130"
"1091012664794304522",🟤 EDOPRO,"1089328006880833626","128","131"
"1091012896865124422",💚 Anime Duel Monsters,"1089328006880833626","131","132"
"1091013026506874881",❤️ Evolved Anime,"1089328006880833626","131","133"
"1110548321262645338",💛 Turniere und Events,"1089328006880833626","131","134"
"1122634839053574277",Change Ping,"1122614460419416114","134","135"
"1122634715824935062",News Ping,"1122614460419416114","134","136"
"1122635049276280972",Umfragen Ping,"1122614460419416114","134","137"
"1124064637621645485",Sommer event Rolle,"1057014848321499236","137","138"
