"guild_id","channel_id"
"925729625580113951","1103660681707913247"
"907693128859934771","955876118605463633"
"937376412183183452","956833506842017852"
"947853231495721030","959813778722131978"
"961971433486041198","962005927362441226"
"962053119938797628","962637372800008233"
"940569469409968139","962649675817689108"
"933706031517802536","970344511102410802"
"938131371451359244","963710961498329088"
"963064640424771584","963761086035820625"
"967095316073554010","968972438065020930"
"954126613862318121","971857023933218846"
"966811756376776724","974640219448016917"
"957359041057800213","975002989234368532"
"975513831394648074","975543859310387240"
"963099143268626432","984388933028814858"
"934822117969653780","1002223152765616128"
"952318312182865971","976775009194344488"
"877291515838361690","977897327446609980"
"897900673931284530","978985644804149288"
"968162980946673756","979335911655481394"
"979801162851155988","980218292075630632"
"980407227074637825","980433303825944606"
"984083592110039120","984129100564271164"
"985146520699555861","985209017775321118"
"963541530533036042","993071838869590076"
"984928443173068880","1005984861166772244"
"981424981563019284","987827069733986414"
"973289734057132092","995717354816278599"
"978345087912280104","991309644423241758"
"992167006033956874","992170385086894210"
"951776421355868231","998941124586651729"
"999250829540347955","999251269959028786"
"999711820262674522","999724991790710784"
"909422299587964988","1001614005196042351"
"1003667793381691392","1003713248018837535"
"989961082833608795","1004000057441390603"
"999561154655440928","1004098849956188170"
"775145940020887572","1006643696730648728"
"995757335379185724","1008827724657344582"
"1009496911348256799","1009855005576134736"
"983806829165420596","1012878732832280597"
"991083033341886524","1012970132273897492"
"939887880598331423","1013496444910583849"
"1002661461581123635","1013761941170302997"
"1011666623465267341","1013762349003456512"
"1003987205196361728","1013857845567041576"
"948595942448320653","1014961363212324924"
"974771788481429504","1016393178892476508"
"768228694736371732","1018123063818207314"
"990688466448834611","1016415703672299551"
"994223091720917012","1016968159791693834"
"993887751785168906","1017074924428472341"
"937793977892077668","1017075279799275690"
"683059539054297159","1018137459604869212"
"1013884961583022250","1020253239259709450"
"1019243091267424287","1023178022259523605"
"983409995720822804","1021060619568418856"
"972937031929966672","1021761285240672336"
"810089469314990101","1022185758829842442"
"1008758902990569562","1022488975438520330"
"1020719124478968019","1022602686748688415"
"796793045516681257","1023192549269192784"
"1023200759447298129","1023624942476075038"
"1047111184064716861","1103036748184957009"
"937398557286228010","1103271599379070986"
"1096705029341188147","1103288933862871180"
"1079807502113316896","1103387259413200916"
"1044625104379858944","1103418808061919262"
"1023650258032525322","1103746259619160194"
"955794727784034334","1104364155424755732"
"1089606417872330882","1104515175501008947"
"1061392171074334794","1106663168085856306"
"1104829063178227772","1107239133769891932"
"1102170939594125403","1107680140927963187"
"1097430178499674185","1107982092953997323"
"1095743726732709989","1108393287775158352"
"1055210291580903555","1108706489318776873"
"1065307487823200256","1109111074680225842"
"1103332191661998101","1110156099480457216"
"1102619214314995745","1110188217380118528"
"1109816514447671398","1110386908456026182"
"765759957529919529","1111615485520396351"
"1111641898357096490","1111654862028034193"
"1103263429042643034","1112351504339320863"
"829790315636326400","1113549007860531243"
"1076501989472604160","1113842613410332743"
"1114845804675473438","1114933715148214344"
"875649296148606986","1114966801755934731"
"773961545146433537","1115355112798433311"
"1104403748190683287","1115711239268601960"
"1100508351206543482","1115891248142745621"
"1110585306803093546","1116062218967060510"
"1052987396666437682","1119326753861673061"
"1107751716234989699","1119591894775767091"
"1116814414667067564","1119767740824170588"
"1120351802987122798","1120717322714349660"
"1104109477709479976","1121461091701104741"
"1121731746380132352","1121748455996526703"
"1043892562760564757","1129358168439402568"
"1089328006880833626","1122611115763957790"
"1116994462812479501","1122631876214009856"
"1117853423056986173","1122939592161632256"
"1114900673121751132","1124695635635998830"
"1053033565736161361","1125143402854481971"
"1112760791121264735","1125546148959092848"
"1125288544408174614","1126415382828298292"
"1126765419194224723","1126781486377467975"
"1125433246264610867","1126994003552903209"
"1097921696750637166","1127567410526945351"
"1099347634357018779","1128292404563292301"
"1092359802375647292","1128477245422444584"
"1025791406666686515","1129132846250995762"
"1091759181255671929","1129133575007113277"
"1130500814616657930","1130527347678912653"
"1130862156875837510","1132584615538868358"
"1089814668798869525","1134412618128433152"
"991751333919076453","1134820823300059207"
"1135354565793939506","1135361059432173650"
"1136373895419666702","1136378537524342946"
"1131673701797089370","1136388586187526174"
"1137007047796330647","1137337436876308540"
"913107980063502400","1138264145976889376"
"1136036031183994970","1138375813453054032"
"1142559356915818676","1143570043435753663"
"1010715587581853897","1146732174058467378"
"1080896770671915018","1150426637771477042"
"1147342274292887562","1150526000766140476"
"1150809829774987265","1150819258478108742"
"1058166200556851221","1153385034569490534"
"1142119099309228092","1155551609414226070"
"1147523026259300384","1162811526764314654"
"1163922367693717535","1164535832749813820"
"1165019495010685008","1165029881608941679"
