"userID","guildID","gwID","anzahl"
"959775346989879347","994332164768403596","1103308732445765672",173
"941998396934340619","994332164768403596","1103308732445765672",991
"898912821126004826","1057425944807211050","1103044759699861607",382
"898912821126004826","1057425944807211050","1103045268884168764",382
"754400516385144942","1057425944807211050","1103044759699861607",54
"754400516385144942","1057425944807211050","1103045268884168764",54
"345714343154810882","1057425944807211050","1103044759699861607",37
"345714343154810882","1057425944807211050","1103045268884168764",37
"1057965762301669396","1057425944807211050","1103044759699861607",214
"1057965762301669396","1057425944807211050","1103045268884168764",214
"996317701695881237","994332164768403596","1103308732445765672",721
"813121722029965323","1057425944807211050","1103044759699861607",1
"813121722029965323","1057425944807211050","1103045268884168764",1
"812384003516137562","1057425944807211050","1103044759699861607",164
"812384003516137562","1057425944807211050","1103045268884168764",164
"880436867357622292","994332164768403596","1103308732445765672",283
"713784024514035793","1057425944807211050","1103044759699861607",346
"713784024514035793","1057425944807211050","1103045268884168764",346
"1077313750392131684","1071794920244920320","1103396905809084527",0
"835782971235368960","925729625580113951","1103351668940210309",26
"981898944017739836","925729625580113951","1103351668940210309",40
"1075112972726317195","994332164768403596","1103308732445765672",58
"1069271929611104347","994332164768403596","1103308732445765672",46
"698442437311463484","1057425944807211050","1103044759699861607",64
"698442437311463484","1057425944807211050","1103045268884168764",64
"920332569315270736","994332164768403596","1103308732445765672",1
"861164825308037141","1057425944807211050","1103044759699861607",2
"861164825308037141","1057425944807211050","1103045268884168764",2
"1046901038466211890","994332164768403596","1103308732445765672",331
"684773505157431347","994332164768403596","1103308732445765672",141
"1077935513761234944","1057425944807211050","1103044759699861607",1
"1077935513761234944","1057425944807211050","1103045268884168764",1
"1056338005855584408","1005878586072367104","1103776741035610113",0
"699951506622906398","1079807502113316896","1104047725055582268",122
"741462503288078367","1079807502113316896","1104047725055582268",16
"658731024309682187","1079807502113316896","1104047725055582268",103
"855784543855706133","1079807502113316896","1104047725055582268",18
"593450283510792213","1079807502113316896","1104047725055582268",40
"1103615430658117663","1091163561553838241","1104100869789712454",0
"1103615430658117663","1091163561553838241","1104113788384456734",0
"1103615430658117663","1091163561553838241","1104114226068471961",0
"826186794995155004","1057425944807211050","1103044759699861607",116
"826186794995155004","1057425944807211050","1103045268884168764",116
"1090388174959825031","937398557286228010","1104148185166921820",42
"702139892448362508","937398557286228010","1104148185166921820",14
"714426678407069697","937398557286228010","1104148185166921820",0
"1066693883100135434","937398557286228010","1104148185166921820",7
"833440209264967700","937398557286228010","1104148185166921820",14
"984184431076053053","937398557286228010","1104148185166921820",12
"937276123946024990","937398557286228010","1104148185166921820",38
"840536020851359754","937398557286228010","1104148185166921820",9
"934882772055634010","937398557286228010","1104148185166921820",20
"926922226152915004","937398557286228010","1104148185166921820",24
"980558556497592370","937398557286228010","1104148185166921820",19
"1053338842532421692","937398557286228010","1104148185166921820",25
"791769362835046430","937398557286228010","1104148185166921820",41
"880009589423239228","937398557286228010","1104148185166921820",34
"1089496907702865940","937398557286228010","1104148185166921820",36
"905491277427146792","937398557286228010","1104148185166921820",32
"822143934784208986","937398557286228010","1104148185166921820",22
"808659566879440897","937398557286228010","1104148185166921820",34
"781943765401075740","937398557286228010","1104148185166921820",30
"974032346753953832","937398557286228010","1104148185166921820",31
"1087985020322463764","937398557286228010","1104148185166921820",6
"1020709857181048862","937398557286228010","1104148185166921820",5
"697386808920506409","1079807502113316896","1104047725055582268",15
"824378909985341451","925729625580113951","1103351668940210309",71
"956558001651744859","1104021295223558286","1104122612629639258",18
"184405311681986560","1104021295223558286","1104122612629639258",47
"1101550599658537071","937398557286228010","1104431055034908792",24
"844929675306598440","937398557286228010","1104431055034908792",15
"1104173751500812308","937398557286228010","1104431055034908792",112
"974032346753953832","937398557286228010","1104431055034908792",122
"790173044525498378","937398557286228010","1104431055034908792",8
"984184431076053053","937398557286228010","1104431055034908792",83
"702139892448362508","937398557286228010","1104431055034908792",116
"910530846610583553","937398557286228010","1104431055034908792",114
"839828465611440159","937398557286228010","1104431055034908792",90
"1034535616047763598","937398557286228010","1104431055034908792",23
"1055779916584587305","937398557286228010","1104431055034908792",68
"878288829361057872","937398557286228010","1104431055034908792",112
"926922226152915004","937398557286228010","1104431055034908792",46
"1096422564911386747","937398557286228010","1104431055034908792",0
"822143934784208986","937398557286228010","1104431055034908792",115
"965673666497101986","937398557286228010","1104431055034908792",37
"1089496907702865940","937398557286228010","1104431055034908792",67
"831181566944084009","937398557286228010","1104431055034908792",114
"937033236608065630","937398557286228010","1104431055034908792",9
"451379187031343104","937398557286228010","1104431055034908792",20
"990969610117468211","937398557286228010","1104431055034908792",34
"880009589423239228","937398557286228010","1104431055034908792",64
"853367461708824667","937398557286228010","1104431055034908792",37
"714426678407069697","937398557286228010","1104431055034908792",0
"817758690047950919","937398557286228010","1104431055034908792",32
"315050355190792193","937398557286228010","1104431055034908792",133
"937276123946024990","937398557286228010","1104431055034908792",98
"917834362270146620","937398557286228010","1104431055034908792",22
"1058080277425049722","937398557286228010","1104431055034908792",5
