"guildID","channelID","msgID","hostID","endtime","winners","nachrichten","level","rollenID","status","preis"
"646045583093530635","997827894820737044","1001874822332170270","580445863231356938","1658936031",1,,,,Inaktiv,Rolle
"646045583093530635","994013861474734220","1002174274628489308","580445863231356938","1659007426",1,,,,Inaktiv,Rolle
"948595942448320653","993587068485775501","1002208124700209234","948565546742452284","1659019037",1,,,,Inaktiv,test
"960155309589016618","966700096135761920","1002514859331682316","941998396934340619","1660298168",90,,5948854,,Inaktiv,fhgrtzgf3re
"853365601783382047","1002274113299157083","1002647344615006250","830552140149686303","1659205655",1,,,,Inaktiv,Nitro Classic
"810607796709097534","1002653996940529774","1002654782554636329","706207165970513980","1659121988",1,0,0,"810607893064974346",Inaktiv,Test
"1003036756901363732","1003042367441473607","1003044341721354290","859833099448483851","1659215706",1,20,,"1003036756901363732",Inaktiv,Test
"948595942448320653","1002559085977288755","1003229933088280636","948565546742452284","1659259114",1,,,,Inaktiv,test für andolan
"853365601783382047","1002274113299157083","1003292260571562126","888739074620399636","1659360315",1,5,,,Inaktiv,Nitro (10€)
"997188963074834563","997205703267713076","1003346639982952478","936354421900726312","1659632480",4,,,,Inaktiv,VIP Lifetime
"925729625580113951","1003394062482686054","1003395594284437504","824378909985341451","1659298611",1,10,,,Inaktiv,test
"925729625580113951","971092445435682907","1003396598862184468","824378909985341451","1659298851",1,,,,Inaktiv,e
"925729625580113951","971092445435682907","1003396646488514600","824378909985341451","1659298862",1,10,,,Inaktiv,e
"925729625580113951","971092445435682907","1003397552596582500","824378909985341451","1659299078",1,100,,,Inaktiv,t
"925729625580113951","971092445435682907","1003397655424139326","824378909985341451","1659299103",1,1000,,,Inaktiv,e
"925729625580113951","971092445435682907","1003398096488771635","824378909985341451","1659299208",1,10000,,,Inaktiv,e
"925729625580113951","971092445435682907","1003398142823256084","824378909985341451","1659299219",1,10,,,Inaktiv,test
"948595942448320653","993587068485775501","1003631393298989066","948565546742452284","1659959570",1,40,,,Inaktiv,"10€ Amazon Gutschein"
