"userID","guildID","zeit","anzahl","channelID"
"928006833162059846","996032349638774877","31.07.2022",36,"996034713770799174"
"282859044593598464","996032349638774877","31.07.2022",164,"996034713770799174"
"980373957402296331","996032349638774877","31.07.2022",152,"996034713770799174"
"824378909985341451","925729625580113951","31.07.2022",13,"971092445435682907"
"987352447477497897","963541530533036042","31.07.2022",172,"987352012339429406"
"452763583348998155","996032349638774877","31.07.2022",18,"996034713770799174"
"968867502086057995","989563191153528862","31.07.2022",78,"989602871643340842"
"935138484283392000","882684482551943178","31.07.2022",302,"926937631999266817"
"868399664481861642","1002987115207991439","31.07.2022",119,"1003079617797693470"
"963040136793313322","943483956664356894","31.07.2022",63,"943487379069624392"
"928006833162059846","996032349638774877","31.07.2022",790,"1002899803727994882"
"1000350396017025135","996032349638774877","31.07.2022",27,"996034713770799174"
"734513783338434591","963541530533036042","31.07.2022",565,"970317263989264384"
"968867502086057995","989563191153528862","31.07.2022",21,"1001486472970502264"
"1000350396017025135","996032349638774877","31.07.2022",5,"1001412978068959323"
"452763583348998155","996032349638774877","31.07.2022",624,"1001412978068959323"
"922525636109664306","916429769007067157","31.07.2022",9,"919663382599172107"
"1000350396017025135","996032349638774877","31.07.2022",434,"1002899803727994882"
"928006833162059846","996032349638774877","31.07.2022",122,"1001412978068959323"
"997928770122022945","996032349638774877","31.07.2022",2,"996032349638774879"
"980916301004419113","963541530533036042","31.07.2022",172,"970317263989264384"
"959050473074196551","996032349638774877","31.07.2022",1,"1001453121584779325"
"824378909985341451","925729625580113951","31.07.2022",1,"998149567759536278"
"824378909985341451","925729625580113951","31.07.2022",11,"934190768690704544"
"824378909985341451","925729625580113951","31.07.2022",1,"965302660871884840"
"159985870458322944","920780797642940457","31.07.2022",8,"920792355743891566"
"824378909985341451","925729625580113951","31.07.2022",1,"946477935328624700"
"824378909985341451","925729625580113951","31.07.2022",140,"925738977422639107"
"792484163684532274","676115729124425737","31.07.2022",4,"1000728335128739920"
"718493970652594217","920780797642940457","31.07.2022",11,"948732585079623680"
"718493970652594217","920780797642940457","31.07.2022",2,"1003236234874859530"
"964529761315586078","943483956664356894","31.07.2022",3,"943486906304430130"
"948894553371463700","920780797642940457","31.07.2022",68,"948894448299941888"
"790949601187201064","920780797642940457","31.07.2022",2,"1003236234874859530"
"990685956128530562","968909601422573638","31.07.2022",3,"979006836621578280"
"500377830987792384","943483956664356894","31.07.2022",2,"943487379069624392"
"997928770122022945","996032349638774877","31.07.2022",38,"996034713770799174"
"980373957402296331","996032349638774877","31.07.2022",10,"996032349638774879"
"985886600225517599","920780797642940457","31.07.2022",2,"1003236234874859530"
"997928770122022945","996032349638774877","31.07.2022",319,"1002899803727994882"
"941750986551205930","989961082833608795","31.07.2022",2,"989987394654732388"
"965564884572065874","989961082833608795","31.07.2022",2,"989987394654732388"
"839221856908214313","996032349638774877","31.07.2022",19,"996034713770799174"
"718493970652594217","920780797642940457","31.07.2022",6,"951668975392149604"
"980373957402296331","996032349638774877","31.07.2022",8,"1001453121584779325"
"980373957402296331","996032349638774877","31.07.2022",711,"1002899803727994882"
"928006833162059846","996032349638774877","31.07.2022",10,"1001453121584779325"
"985886600225517599","920780797642940457","31.07.2022",41,"950194127943921704"
"919980191940485120","920780797642940457","31.07.2022",1,"1003235184818266192"
"985245838261502102","916429769007067157","31.07.2022",3,"938464290262896650"
"994590738237116527","969886960632098836","31.07.2022",86,"993491318267457546"
"839221856908214313","996032349638774877","31.07.2022",903,"1002899803727994882"
"985886600225517599","920780797642940457","31.07.2022",3,"1003235184818266192"
"958299949706137620","916429769007067157","31.07.2022",2,"957380522265419786"
"986951913515929712","916429769007067157","31.07.2022",49,"985445748143443978"
"964464383579262997","962405929779867718","31.07.2022",21,"964463756996403221"
"896342642462429184","882684482551943178","31.07.2022",32,"926918240712667156"
"985886600225517599","920780797642940457","31.07.2022",1,"922284875761987614"
"718493970652594217","920780797642940457","31.07.2022",2,"1003237973120266330"
"922525636109664306","920780797642940457","31.07.2022",17,"1003237973120266330"
"980373957402296331","996032349638774877","31.07.2022",29,"1001412978068959323"
"985886600225517599","920780797642940457","31.07.2022",19,"1003237973120266330"
"891007742872002590","979792377352962148","31.07.2022",36,"984508895110266941"
