"guildID","channelID","text"
"991751333919076453","1020335891388059649",Bots: %botcount
"939887880598331423","1020341844435017808",""
"966811756376776724","1020343222305816686",🟢┆%online Online
"966811756376776724","1020343082199289916",🤖┆%botcount Bots
"1020315515111100476","1020350737601003613",🔥┃Favelife : %usercount
"984928443173068880","1020399843946004521",🐚 Member - %usercount
"984928443173068880","1020400762016243762",🐚 Online - %online
"984928443173068880","1020401788601516144",🐚 Bots - %botcount
"676115729124425737","1020403917831544852",%botcount
"984928443173068880","1020426285870227527",🐚 Mitglieder - %usercount
"984928443173068880","1020427199192498206",🐚 Davon Bots - %botcount
"984928443173068880","1020443940446535680",🚀 Mitglieder: %usercount
"984928443173068880","1020444025322491965",🤖 Davon Bots: %botcount
"984928443173068880","1020444052010840114",🟢 Online: %online
"1005119105868759162","1014943962584338522",%usercount
"925729625580113951","1020335704628281457",Mitglieder: %membercount
"925729625580113951","925738744559067156",⚡️ Community (%notoffline online)
"984928443173068880","1021042564096348240",🟢 Online: %notoffline
"1021448806979620895","1021448807457767426",%usercount
"810089469314990101","1022545380765872310",Mitglieder: %membercount
"1023539601920507904","1023623408417767424",%usercount
"1023539601920507904","1023623702413316136",%botcount
"933769612120694854","1025084828955197510",⌠🌍⌡・%usercount
