"userID","guildID","zeit","anzahl","channelID"
"896342642462429184","882684482551943178","31.07.2022",143,"979503724194058310"
"547905866255433758","882684482551943178","31.07.2022",72,"979503724194058310"
"724681301440987147","992960423081037925","31.07.2022",28,"992995061132447805"
"955887673371934810","882684482551943178","31.07.2022",2,"979503724194058310"
"903667367790411776","882684482551943178","31.07.2022",113,"979503724194058310"
"981918775651745832","882684482551943178","31.07.2022",92,"979503724194058310"
"873234979239383040","833025915872608276","31.07.2022",45,"945414786781429781"
"730734267704934422","916429769007067157","31.07.2022",49,"919663452539215892"
"767376315397177384","989238450467258418","31.07.2022",48,"992732797020155944"
"837618242897051668","916429769007067157","31.07.2022",47,"919663452539215892"
"767492861935222785","992960423081037925","31.07.2022",39,"992995061132447805"
"798152988463857694","882684482551943178","31.07.2022",38,"979503724194058310"
"741962698283024474","989238450467258418","31.07.2022",36,"992732797020155944"
"688815787061805132","957126049945235547","31.07.2022",25,"957126051618750468"
"823534232525471784","993465450484731925","31.07.2022",12,"997096571764215919"
"947230334091685999","996032349638774877","31.07.2022",1,"997227851449368657"
"947230334091685999","996032349638774877","31.07.2022",2,"996034451299635271"
"846140934667763722","833025915872608276","31.07.2022",22,"945414786781429781"
"999974853304139827","853365601783382047","31.07.2022",18,"986019488111673455"
"952155352470798386","833025915872608276","31.07.2022",1,"945414786781429781"
"826534017376714836","916429769007067157","31.07.2022",1,"919663452539215892"
"936623166581772398","993465450484731925","31.07.2022",2,"997096571764215919"
"956316583838498836","957126049945235547","31.07.2022",1,"957126051618750468"
"907935346933764166","938835740698243082","31.07.2022",34,"970741727495352380"
"899535882422480906","938835740698243082","31.07.2022",4,"970741727495352380"
"846309495000793098","833025915872608276","31.07.2022",19,"945414786781429781"
"282859044593598464","938835740698243082","31.07.2022",28,"970741727495352380"
"983019717981765673","983021996713586778","31.07.2022",5,"987714979958517780"
"964099806198898709","988839254132146186","31.07.2022",1,"1002127548223856649"
"429457053791158281","957126049945235547","31.07.2022",11,"957126051618750468"
"959470916482502677","989238450467258418","31.07.2022",10,"992732797020155944"
"823534232525471784","1002497204008783922","31.07.2022",4,"1003298128155381881"
"689386059326292008","1002497204008783922","31.07.2022",3,"1003298128155381881"
"779751740412264448","1002497204008783922","31.07.2022",2,"1003298128155381881"
"907935346933764166","938835740698243082","01.08.2022",91,"970741994638942260"
"899535882422480906","938835740698243082","01.08.2022",87,"970741994638942260"
"890840168511189003","938835740698243082","01.08.2022",89,"970741994638942260"
"923135818376290316","938835740698243082","01.08.2022",86,"970741994638942260"
"1002157385038700655","938835740698243082","01.08.2022",63,"970741994638942260"
"907935346933764166","938835740698243082","01.08.2022",6,"970741727495352380"
"899535882422480906","938835740698243082","01.08.2022",6,"970741727495352380"
"977962899848986674","999713506498715738","01.08.2022",85,"1001411837218267146"
"890840168511189003","938835740698243082","01.08.2022",23,"970741962430877746"
"923135818376290316","938835740698243082","01.08.2022",1,"970741962430877746"
"899535882422480906","938835740698243082","01.08.2022",34,"970741962430877746"
"907935346933764166","938835740698243082","01.08.2022",34,"970741962430877746"
"981918775651745832","882684482551943178","01.08.2022",35,"979503724194058310"
"547905866255433758","882684482551943178","01.08.2022",34,"979503724194058310"
"921733593687011379","992363113255018566","01.08.2022",31,"992363893601087498"
"996815213531774998","992363113255018566","01.08.2022",29,"992363893601087498"
"806833335933861888","999713506498715738","01.08.2022",27,"1001411837218267146"
"805180370260983858","948595942448320653","01.08.2022",11,"998194124295503922"
"282859044593598464","833025915872608276","01.08.2022",10,"945414786781429781"
"983019717981765673","989891141841321995","01.08.2022",12,"997140263040454748"
"282859044593598464","989891141841321995","01.08.2022",8,"997140263040454748"
"809899466496016445","882684482551943178","01.08.2022",17,"979503724194058310"
"399603305984294922","833025915872608276","01.08.2022",71,"945414786781429781"
"724681301440987147","992960423081037925","01.08.2022",25,"992995061132447805"
"767492861935222785","992960423081037925","01.08.2022",69,"992995061132447805"
"821085167262498827","833025915872608276","01.08.2022",53,"945414786781429781"
"873511947897831454","989238450467258418","01.08.2022",1,"992732797020155944"
"873511947897831454","989238450467258418","01.08.2022",59,"994913660759707648"
"947090065589428254","989238450467258418","01.08.2022",58,"994913660759707648"
"588010529302249554","957126049945235547","01.08.2022",50,"957126051618750468"
"911637285336940554","833025915872608276","01.08.2022",2,"945414786781429781"
"791748695384391690","833025915872608276","01.08.2022",44,"945414786781429781"
"846140934667763722","833025915872608276","01.08.2022",42,"945414786781429781"
"906999982865932298","996032349638774877","01.08.2022",23,"996034451299635271"
"850444597813182485","996032349638774877","01.08.2022",13,"996034451299635271"
"956316583838498836","957126049945235547","01.08.2022",32,"957126051618750468"
"790936967302479922","996032349638774877","01.08.2022",16,"996034451299635271"
"989404318086094898","990688466448834611","01.08.2022",23,"990688466897629304"
"902617039531814924","996032349638774877","01.08.2022",10,"996034451299635271"
"568765395700285509","853365601783382047","01.08.2022",19,"1003732521562939417"
"659319269326323732","853365601783382047","01.08.2022",14,"1003732521562939417"
"730734267704934422","916429769007067157","01.08.2022",5,"919663452539215892"
"840869661653991465","916429769007067157","01.08.2022",4,"919663452539215892"
"547905866255433758","996032349638774877","02.08.2022",9,"998558600224067645"
"839221856908214313","996032349638774877","02.08.2022",10,"998558344140824586"
"903667367790411776","882684482551943178","02.08.2022",1,"979503724194058310"
"159985870458322944","882684482551943178","02.08.2022",8,"979503724194058310"
"971105802842697778","916429769007067157","02.08.2022",7,"985457966868209674"
"812392810211967067","916429769007067157","02.08.2022",6,"985457966868209674"
