"userID","wins","loses","ties","rating"
"824378909985341451","18","5","22","93"
"853742600061714482","0","1","6","11"
"951464632030212136","0","0","0","0"
"439150538005938208","0","0","0","0"
"83624682649387598","0","0","0","0"
"679706007219339376","0","0","2","4"
"840122604115329055","5","8","9","25"
"959775346989879347","0","0","0","0"
"681441278541824020","0","0","0","0"
"981918775651745832","0","0","0","0"
"244198813118627850","0","0","0","0"
"690093028383260717","0","0","0","0"
"618805150756110336","0","1","4","7"
"857218990463385600","0","1","0",-1
"835782971235368960","0","2","0",-2
"925799559576322078","0","0","0","0"
"720239394770124802","0","0","0","0"
"869529587414102066","0","0","0","0"
"831222668178489386","1","1","0","2"
"995959406921523240","0","1","1","1"
"944309381720334417","1","3","5","10"
"832540031897305089","0","0","0","0"
"701813696413827142","0","0","1","2"
"585089919467388954","0","0","1","2"
"948565546742452284","2","3","4","11"
"805180370260983858","0","2","4","6"
"892431681020104724","2","1","1","7"
"426652198177341450","0","0","0","0"
"714361420409733171","0","0","0",
"805805164316590111","0","1","1","1"
"768555847285473282","1","0","1","5"
"808283660322078720","0","0","0",
"859833099448483851","0","1","1","1"
"579263214232272908","1","0","1","5"
"994651401198239896","1","5","0",-2
"738800213271117964","3","0","0","9"
"643029855478480907","0","0","0",
"920385751781367808","0","1","0",-1
"837044499346620448","0","0","0",
"770223395035283466","0","1","0",-1
"730734267704934422","0","0","0",
"712343666949095504","0","0","4","8"
"964641105704534086","0","0","2","4"
"961704409920835674","0","0","2","4"
"785918436957880320","0","0","0",
"934790682793607199","0","1","1","1"
"966355430735495228","2","1","4","13"
"721467797238186074","0","0","0",
"688080245403681005","1","0","0","3"
"991807730417418250","12","10","17","60"
"374083438371930113","0","1","0",-1
"525974888750645249","3","4","6","17"
"1008975489962082374","7","0","3","27"
"940070669729820733","0","0","2","4"
"904666156772757524","4","0","4","20"
"941750986551205930","0","3","1",-1
"977962899848986674","0","0","0",
"257174274765357057","0","0","0",
"963303356443529246","0","0","0",
"792484163684532274","0","0","0",
"806833335933861888","0","0","0",
"764173981707272242","0","3","1",-1
"915266458588688435","2","4","3","8"
"775433367595909129","3","1","1","10"
"789476339463356426","0","0","0",
"940623992333692968","0","0","0",
"780789291017043968","0","0","0",
"932676400765353985","0","0","0",
"792096088021794866","0","1","3","5"
"764157181285105685","1","0","0","3"
"964486129204232272","0","0","1","2"
"925677714642468904","0","0","1","2"
"844982174947606620","0","0","0",
"806666169997852682","0","0","0",
"905046781430202428","0","0","0",
"795378002140987414","0","0","0",
"810841003564859412","0","0","0",
"828293549770407946","0","0","0",
"953987718403203183","0","1","0",-1
"1004804726497476679","1","0","0","3"
"841234864120528936","1","0","0","3"
"909700322266607696","5","3","12","36"
"403606660297261076","1","1","4","10"
"761686185377792041","0","0","0",
"693108996399431781","2","3","3","9"
"693523513792790648","0","2","3","4"
"805007935867584533","3","2","2","11"
"586834867409649684","2","3","2","7"
"965564884572065874","0","0","0",
"919747347112656958","0","0","0",
"956558001651744859","0","0","0",
"732136954325499957","1","0","1","5"
"709383987432390759","2","1","7","19"
"775242927948955692","1","3","8","16"
"863414925950320660","5","3","3","18"
"672128559321710593","3","10","16","31"
"953354375068254299","0","1","0",-1
"955896384891011072","1","0","3","9"
"852903649277378620","3","2","5","17"
"983019717981765673","0","0","0",
"1000851332816699422","0","0","0",
"870594412990840852","0","0","0",
"925730068221808670","3","3","13","32"
"1004476670280990752","1","1","6","14"
"729391639780655114","6","2","8","32"
"805827935289606164","0","0","0",
"908995528384196619","0","1","3","5"
"644177931685462016","0","1","0",-1
"699922189679591474","1","2","2","5"
"829543922845089812","1","0","2","7"
"802123814896664577","0","1","4","7"
"933704305905643530","0","0","0",
"1001826064189902989","1","0","2","7"
"1012702377180155964","0","0","0",
"845694254160543764","0","0","0",
"639044926616764426","0","0","0",
"1018822424516640768","0","1","0",-1
"843527058213568542","0","0","1","2"
"1017786075395145770","0","0","1","2"
"978337596843368478","1","1","5","12"
"960217686388899872","2","1","2","9"
"586609986705293381","0","3","3","3"
"784822583920427048","0","0","0",
"159985870458322944","0","0","0",
"828912418570108939","1","0","1","5"
"979012407827505232","0","1","0",-1
"955887673371934810","1","0","0","3"
"974992893024546816","0","0","0",
"971797457652563968","0","0","0",
"998270798114603018","0","0","0",
"368521195940741122","0","0","0",
"805068527073624086","0","0","0",
"680795704767283219","0","0","1","2"
"885935428992110632","2","0","5","16"
"378227075372548109","0","1","0",-1
"655525346522693642","0","1","2","3"
"672064004851761172","0","0","0",
"931062484176109588","1","0","3","9"
"976425378061111338","0","0","0",
"709004687013052506","0","0","0",
"701944420693442570","0","0","1","2"
"718124227647242262","0","0","3","6"
"366203089121968128","0","0","1","2"
"873611574475104357","0","0","0",
"566009524574617600","0","0","0",
"931795662704615444","0","0","0",
"1072976995186655373","0","0","0",
"818157131018141706","0","0","0",
