"userID","votes"
"897641092697186336",52
"835782971235368960",74
"00",0
"921813846522494996",3
"837044499346620448",9
"770659954759434260",1
"831061076501069845",7
"731584662287286312",8
"923479465294700565",7
"788047919932375070",1
"722167743901859840",2
"618805150756110336",136
"732993370305069116",18
"927583619936047115",2
"737955549307600898",32
"841229526519250957",1
"901167342493515907",1
"814998827064492092",1
"615500048163274776",15
"790771556619911210",1
"422022707560054795",1
"743097409906671656",2
"794962175646105680",1
"720239394770124802",1
"840988884144881734",3
"615549489952063516",4
"568024774786416652",5
"730734267704934422",22
"953533541189316668",1
"594922360553865216",4
"798810198470557736",2
"810515651000139807",1
"00",0
"810515651000139807",1
"824378909985341451",303
"964486129204232272",1
"00",0
"941750986551205930",8
"323899274674962433",1
"825261013829156875",26
"886150113557381150",1
"840122604115329055",79
"852954532044472321",2
"784442766234353686",1
"947298447889928223",1
"899674250334576691",46
"832540031897305089",82
"928582837253312523",1
"919239939642753074",1
"543086297812566040",1
"679706007219339376",4
"930199171372286065",4
"792484163684532274",3
"932340329397514341",2
"795382631318814730",128
"547120995845013516",8
"853742600061714482",24
"461016766420877332",34
"989404318086094898",16
"854429096560820284",9
"784376284686843956",1
"791431165487087616",8
"644913454968340490",1
"959775346989879347",3
"857218990463385600",12
"995959406921523240",14
"307187690049372164",5
"443789116484878336",1
"816628412185051207",1
"892676014868680715",3
"785059784604778496",1
