"guildID","userID","anzahl"
"925729625580113951","824378909985341451",163
"913529131931664475","702535364325146645",233
"990341129914445834","702535364325146645",233
"961971433486041198","702535364325146645",233
"801579074816311346","702535364325146645",233
"990137144041406474","989714869534195732",1
"958306200892620821","702535364325146645",233
"963541530533036042","987352447477497897",344
"956229444761161758","942860358182387753",12
"965566481322606592","965564884572065874",84
"956229444761161758","707321815432691743",84
"994332164768403596","989404318086094898",24
"947095698426433616","912746123234533376",61
"947095698426433616","1000025027346968639",9
"963541530533036042","734513783338434591",1061
"996032349638774877","842760140401672214",260
"969886960632098836","994590738237116527",174
"996032349638774877","987420787126456360",1
"951776421355868231","781497490263638066",5
"925729625580113951","925799559576322078",1793
"925729625580113951","892676014868680715",2
"974804274414497802","925799559576322078",384
"996032349638774877","839221856908214313",415
"989961082833608795","992486666759581696",29
"947095698426433616","964067572452581386",16
"994637056192032768","707994502060834827",1
"984183027930378350","991443279373668483",17
"956229444761161758","952525522062172212",2
"943483956664356894","963040136793313322",92
"960991044302946354","925799559576322078",3
"960991044302946354","159985870458322944",4
"984183027930378350","678344927997853742",2
"994575472514056262","718801293891600396",31
"994637056192032768","840988884144881734",1
"803697848163631105","718801293891600396",3
"996032349638774877","925799559576322078",1486
"956229444761161758","996772858187501642",90
"943483956664356894","999344443025010799",4
"916429769007067157","730734267704934422",54
"996032349638774877","992817949817704528",897
"933706031517802536","479688142908162059",3
"933706031517802536","772150720689733663",2
"996032349638774877","963554907783323678",1054
"996032349638774877","282859044593598464",110
"753556676459888680","159985870458322944",10
"996032349638774877","356065937318871041",1050
"951776421355868231","737955549307600898",103
"951776421355868231","707287095911120968",32
"943483956664356894","737955549307600898",1
"994575472514056262","924772664843833405",1
"956229444761161758","299555119719251979",2
"956229444761161758","764157181285105685",72
"875338422800224257","964643085189521488",95
"916429769007067157","840869661653991465",97
"947095698426433616","282859044593598464",1
"996032349638774877","758976327113506876",149
"916429769007067157","925799559576322078",116
"963541530533036042","980916301004419113",341
"916429769007067157","159985870458322944",14
"935147046715920434","953283870881611776",2
"996032349638774877","995912905818116196",46
"971441719222599720","678344927997853742",15
"951776421355868231","999344443025010799",1
"811533539320922132","925799559576322078",250
"833025915872608276","839484141728170055",78
"833025915872608276","270904126974590976",185
"989961082833608795","906958663980298340",3
"996032349638774877","452763583348998155",2
"984928443173068880","481781881742950401",592
"984928443173068880","437808476106784770",2
"984928443173068880","555955826880413696",734
"984928443173068880","812942851814064150",456
"994332164768403596","925799559576322078",60
"925729625580113951","995959406921523240",447
"971441719222599720","1000370316679331960",31
"925729625580113951","737955549307600898",4
"935147046715920434","941711535879897120",5
"833025915872608276","873234979239383040",36
"960991044302946354","873922994718773278",2
"973593472592412672","995727536233390170",30
"973593472592412672","995948743054606446",30
"996032349638774877","726009355614552124",101
"971441719222599720","993865229400281189",14
"971441719222599720","967368147533430856",16
"984083592110039120","984161775467528293",5
