"userID","streak","timestamp"
"824378909985341451",1,"1657561446.348196"
"618805150756110336",3,"1658615773.087841"
"796707311267479563",1,"1656523071.700703"
"840122604115329055",1,"1656883365.222475"
"720700352730497155",9,"1658584721.447153"
"827952900381868072",1,"1658660696.556282"
"899674250334576691",13,"1655830706.862766"
"832540031897305089",3,"1658651089.319951"
"810459620035657769",1,"1654628899.922968"
"835782971235368960",1,"1657909491.119032"
"722082277735137351",1,"1654693361.919191"
"947298447889928223",1,"1654749247.113484"
"959775346989879347",2,"1657688524.40046"
"800387017850224660",1,"1657128145.055231"
"950419082413486100",1,"1654943948.240547"
"887416808838164511",1,"1655115446.749505"
"792794981517099069",1,"1657206543.736882"
"785918436957880320",1,"1655388831.687016"
"806171118993145887",1,"1655440556.307884"
"853742600061714482",41,"1658677494.989685"
"461016766420877332",2,"1658580140.659507"
"924772664843833405",1,"1655649352.192525"
"852954532044472321",1,"1655663889.222205"
"944309381720334417",1,"1655819233.590702"
"989404318086094898",2,"1658658476.451223"
"455146103755636739",1,"1657487632.163423"
"799212387944759316",1,"1656185875.461862"
"634338894308966460",1,"1656187557.171755"
"854429096560820284",3,"1656475072.888307"
"855789575876378635",1,"1656601582.186419"
"967368147533430856",2,"1656681010.054604"
"643029855478480907",1,"1657866251.949617"
"906433207321378826",1,"1657216890.862138"
"741962698283024474",1,"1658665606.210303"
"991807730417418250",1,"1657481692.11863"
"954161154098348042",2,"1657693932.996625"
"857218990463385600",2,"1658002981.061997"
"891653692284100669",1,"1657991439.514126"
"995959406921523240",8,"1658591438.832617"
"941750986551205930",4,"1658594582.724092"
"767376315397177384",1,"1658661008.46107"
