"userID","rucksack","bank","stunden","job"
"835782971235368960",20,6855,13,Dönermann
"875685701230940211",0,0,0,Kein Job
"798556932151181363",0,0,0,Kein Job
"732993370305069116",2100,0,0,Kein Job
"845916351277170688",0,0,0,Kein Job
"930199171372286065",300,1098,4,Küchenhilfe
"706522276404920470",16,549,16,Küchenhilfe
"837044499346620448",380,22,1,Küchenhilfe
"825261013829156875",7800,21,1,Küchenhilfe
"618805150756110336",665,43257,58,Sanitäter
"897641092697186336",2000,0,0,Kein Job
"568024774786416652",1620,0,0,Kein Job
"728224308312146011",100,0,0,Kein Job
"831061076501069845",300,0,0,Kein Job
"828579194849329172",0,0,0,Kein Job
"900428485930147841",0,355,6,Kassierer
"915851187679547443",0,0,0,Kein Job
"840122604115329055",816,43334,40,Lehrer
"931795662704615444",0,68,3,Küchenhilfe
"953533541189316668",300,0,0,Kein Job
"925799559576322078",0,0,0,Kein Job
"798567188373831722",419,152,6,Kassierer
"594922360553865216",0,0,0,Kein Job
"891653692284100669",0,7868,33,Bauarbeiter
"798810198470557736",60,1952,6,Küchenhilfe
"824167612183085087",14,66,2,Küchenhilfe
"845561276319268894",0,26,1,Küchenhilfe
"814998827064492092",0,0,0,Küchenhilfe
"795382631318814730",9600,21630,2,Pfleger
"873234979239383040",0,8,0,Küchenhilfe
"929767808152240149",0,0,0,Kein Job
"824378909985341451",910,61295,126,Polizist
"964486129204232272",300,0,0,Kein Job
"908055260520648724",25,76,3,Küchenhilfe
"940070669729820733",237,0,0,Kein Job
"785059784604778496",672,0,0,Kein Job
"840988884144881734",0,8584,27,Pfleger
"945045630248693840",395,0,0,Küchenhilfe
"899674250334576691",39,0,0,Kein Job
"832540031897305089",0,90475,269,CEO
"676503014629965837",1,0,0,Kein Job
"956857668591570995",336,0,0,Küchenhilfe
"740908779427594371",35,0,0,Kein Job
"894235218754535424",0,50,2,Küchenhilfe
"737955549307600898",1879,10196,35,Bäcker
"323899274674962433",300,0,0,Kein Job
"891340697259622440",0,0,0,Kein Job
"827952900381868072",0,9010,134,Lehrer
"580445863231356938",0,21,1,Küchenhilfe
"886150113557381150",300,0,0,Kein Job
"615549489952063516",216,0,0,Küchenhilfe
"957592881391108096",249,0,0,Küchenhilfe
"811868517775179797",0,0,0,Küchenhilfe
"921813846522494996",300,0,0,Kein Job
"827871760656367636",0,0,0,Kein Job
"792484163684532274",670,5090,0,Kein Job
"829382741644279828",-341,0,0,Küchenhilfe
"793156268121784370",0,0,0,Kein Job
"720602314456432646",0,0,0,Kein Job
"939253803511840769",0,25,1,Küchenhilfe
"292953664492929025",0,0,0,Kein Job
"768090272328187924",0,53,2,Küchenhilfe
"720700352730497155",0,126987,389,Richter
"796707311267479563",129,19670,123,Polizist
"615500048163274776",449,0,0,Kein Job
"852954532044472321",300,5467,1,Küchenhilfe
"776112644972216351",0,604,0,Küchenhilfe
"830853005858308098",4,0,0,Kein Job
"784442766234353686",300,0,0,Kein Job
"595206292138622976",19,0,0,Kein Job
"776012872018558976",49,4195,41,Gärtner
"923581332708286504",0,0,0,Kein Job
"858782457407209482",0,23,1,Küchenhilfe
"705083456719290418",0,0,0,Kein Job
"810459620035657769",50,0,0,Kein Job
"767376315397177384",54,2991,26,Pfleger
"875461868884467753",8,0,0,Küchenhilfe
"768802273601781761",0,0,0,Kein Job
"892676014868680715",900,0,0,Küchenhilfe
"858076184562368552",0,0,0,Kein Job
"784376284686843956",402,428,8,Kassierer
"517042873733087262",421,0,0,Kein Job
"924976466003914822",0,0,0,Kein Job
"833695252652359730",406,0,0,Küchenhilfe
"844552022526656513",0,0,0,Kein Job
"850365182332239903",0,0,0,Küchenhilfe
"904004825690300477",130,0,0,Kein Job
"752555494169772173",0,0,0,Kein Job
"947176753502224384",30,55,2,Küchenhilfe
"886986109979090995",0,0,0,Kein Job
"826724933220302868",0,0,0,Küchenhilfe
"941750986551205930",7928,465,14,Dönermann
"688423446199140410",0,24,1,Küchenhilfe
"975660867813249090",0,0,0,Küchenhilfe
"772821490118164491",-74,49,2,Küchenhilfe
"766351160498978866",0,0,0,Kein Job
"947116300122083349",0,0,0,Küchenhilfe
"924667459112427570",0,0,0,Kein Job
"835373460465254420",18,0,0,Kein Job
"833395358674714694",0,0,0,Kein Job
"803354239254265866",0,5000,0,Kein Job
"872915659435163659",0,0,0,Kein Job
"928582837253312523",300,0,0,Kein Job
"919239939642753074",300,0,0,Kein Job
"543086297812566040",300,0,0,Kein Job
"960174898960035870",0,0,0,Kein Job
"952199097534791700",0,0,0,Kein Job
"914895387339411506",0,0,0,Kein Job
"962343430267219968",0,0,0,Kein Job
"870993545257951242",0,0,0,Kein Job
"690093028383260717",33,0,0,Kein Job
"852810972620259328",347,0,0,Kein Job
"891409621745549354",345,0,0,Kein Job
"715188997877661726",2,0,0,Kein Job
"679706007219339376",1200,0,0,Kein Job
"603890201139478539",0,0,0,Kein Job
"980938547731255348",0,614,2,Küchenhilfe
"945692240733405195",0,0,0,Küchenhilfe
"724643357644685374",703,353,12,Dönermann
"523941236722237441",0,0,0,Kein Job
"448486685999628319",0,0,0,Kein Job
"840896163494625280",0,0,0,Kein Job
"789157444931682366",0,0,0,Kein Job
"723181120262242356",356,0,0,Kein Job
"707218858792058893",382,0,0,Kein Job
"625016541087399943",0,0,0,Kein Job
"926629554888536075",17,0,0,Kein Job
"811570730651090945",0,0,0,Kein Job
"932340329397514341",600,0,0,Kein Job
"792794981517099069",498,0,0,Kein Job
"450980368305094666",171,0,0,Küchenhilfe
"651793633535852557",0,0,0,Küchenhilfe
"850283076445012018",0,0,0,Kein Job
"720574322195955723",0,0,0,Kein Job
"936932034557915186",14,25,1,Küchenhilfe
"847032613327470593",0,0,0,Kein Job
"722082277735137351",50,0,0,Kein Job
"947298447889928223",50,0,0,Kein Job
"959775346989879347",630,17810,89,Engineur
"868074288887005204",0,0,0,Kein Job
"898091616072503326",0,0,0,Kein Job
"718801293891600396",0,0,0,Küchenhilfe
"800387017850224660",150,0,0,Kein Job
"950419082413486100",50,0,0,Kein Job
"547120995845013516",2400,0,0,Kein Job
"887416808838164511",50,0,0,Kein Job
"785918436957880320",-1112,28,1,Küchenhilfe
"897402355476213800",0,0,0,Küchenhilfe
"953361295976054786",0,98,0,Küchenhilfe
"974785591340331088",0,0,0,Kein Job
"840880565656879104",0,0,0,Kein Job
"806171118993145887",50,0,0,Küchenhilfe
"461016766420877332",282,224,165,Chirurg
"831053064622440449",0,0,0,Küchenhilfe
"842842217507979324",43,106,3,Kein Job
"853742600061714482",310,60886,203,Chefarzt
"481781881742950401",181,0,0,Kein Job
"974670282402979850",0,0,0,Kein Job
"867387519359909888",0,0,0,Kein Job
"949685401398968451",0,0,0,Kein Job
"924772664843833405",15,178,2,Küchenhilfe
"703897584791584799",7,20,1,Küchenhilfe
"692656300873613343",0,0,0,Kein Job
"596773956707549184",0,0,0,Kein Job
"778326977718255626",0,0,0,Kein Job
"888000819545399297",10,0,0,Kein Job
"798943533989101589",0,0,0,Kein Job
"816985975363338260",14,0,0,Küchenhilfe
"776867415598170123",0,0,0,Kein Job
"944309381720334417",133,65,3,Kein Job
"930132044976119808",50,0,0,Küchenhilfe
"989404318086094898",70,106793,343,Richter
"963590801001185371",0,0,0,Kein Job
"455146103755636739",100,22,1,Küchenhilfe
"784708469495300106",0,0,0,Küchenhilfe
"799212387944759316",50,0,0,Küchenhilfe
"634338894308966460",50,0,0,Kein Job
"854429096560820284",2921,102,4,Küchenhilfe
"791278232992874536",0,0,0,Kein Job
"976100030345801759",0,0,0,Kein Job
"855789575876378635",50,0,0,Kein Job
"967368147533430856",110,0,0,Kein Job
"631645489506418711",51,0,0,Kein Job
