"guild_id","role_id"
"925729625580113951","925737886400266260"
"953285654140293240","953321046960910347"
"950770080684331088","951808785368883200"
"906867698447822889","922755581947834379"
"952132126378172426","952132126378172435"
"961145157787451452","961148200197169172"
"803697848163631105","803905294224064572"
"961971433486041198","961974803105980497"
"947853231495721030","947854113931161610"
"947853231495721030","949426971132174387"
"943483956664356894","943497254482894908"
"957272886857576559","968230062283423784"
"957272886857576559","968230122589155379"
"921045773456642108","921053462102442004"
"921045773456642108","921074989103448094"
"882684482551943178","882684482551943184"
"743767102971707453","877525919722508299"
"743767102971707453","877525450845474837"
"743767102971707453","877525919722508299"
"966811756376776724","966975958882091028"
"952132126378172426","952132126378172435"
"966811756376776724","967085688942133288"
"965566481322606592","971411168268800080"
"968162980946673756","968162981236047939"
"877291515838361690","965738952088756265"
"877291515838361690","972815835959799828"
"966978675251744779","966978676010934278"
"960155309589016618","961950465568940036"
"947853231495721030","972950169039552532"
"942093754129600572","945767101984034836"
"975466086730436628","975486432095387759"
"979023326443892746","979025954720604170"
"969657096570302514","980054876413366302"
"979792377352962148","980479055772131398"
"983413416209285190","983413416209285191"
"984083592110039120","984121653640441896"
"984812138054967296","984815864836681768"
"986265753005199390","986265753068122120"
"984928443173068880","986361174893408287"
"973289734057132092","986986062704422962"
"942093754129600572","972159775875936267"
"989875687412346940","989896242874187786"
"853662631130300458","853671808582811670"
"992337727297163278","992338685745954816"
"991619253369327706","991630720315437076"
"991619253369327706","991630836245991424"
"971441719222599720","977499032731652158"
"984828890755268639","984830995666698290"
"994575472514056262","994575472627306672"
"983090527635406868","983298172333989938"
"996816540806696980","996816540865396771"
"944785491956477952","944787887268974633"
"965566481322606592","988845972534734869"
"999711820262674522","999717408665239602"
"993465450484731925","993466549518225429"
"994332164768403596","994464353791250533"
"1000400822380798053","1000400822422736941"
