"guild_id","role_id"
"857546239368101888","878646643170361374"
"953285654140293240","953324177325182976"
"803697848163631105","855751201786298369"
"906867698447822889","922755149758337104"
"947853231495721030","947932123787046993"
"958290691212050455","958303865030213642"
"952132126378172426","952132126378172434"
"961145157787451452","961147902313517096"
"961971433486041198","961974336670011443"
"947853231495721030","952956215829348422"
"947853231495721030","949389907388928030"
"947853231495721030","947869694424145972"
"947853231495721030","954127965636153434"
"947853231495721030","947869160497631242"
"947853231495721030","947854023363559435"
"947853231495721030","947932123787046993"
"947853231495721030","947869964625379358"
"963425271942381628","963425462971945020"
"947853231495721030","960461001722040320"
"970045236841697390","970051158993424455"
"970045236841697390","970303931903250454"
"970045236841697390","970303993647616020"
"970045236841697390","970340830697111552"
"970045236841697390","970341974303453234"
"946376574855438347","946389678377021491"
"877291515838361690","965737611408863233"
"877291515838361690","972817377500737546"
"877291515838361690","972817823208468490"
"909767478148751440","910452447665872918"
"973267734597087272","973281740665782272"
"925729625580113951","925735515179860031"
"968162980946673756","968162981236047940"
"892080636645486683","892080637031383055"
"973984199545602148","973984199751106596"
"975466086730436628","975484136716386314"
"979023326443892746","979026139781664898"
"984083592110039120","984112627443728425"
"984812138054967296","984815657814212618"
"985742947859464232","985753984788754442"
"947095698426433616","986280888897785886"
"947095698426433616","988715274666639370"
"947095698426433616","988713692113829908"
"947095698426433616","986280890315468903"
"973289734057132092","980079791959048212"
"988862173910540308","988894698330546237"
"988862173910540308","988918453295517706"
"988862173910540308","988916670082973736"
"988862173910540308","988919572017082479"
"991619253369327706","991690166936805407"
"984828890755268639","984847545429811241"
"994332164768403596","994464866947567726"
"994575472514056262","994575472627306673"
"994575472514056262","994578039478431875"
"939033081577373696","939201852535349308"
"994332164768403596","997164389172006912"
"994332164768403596","997564367098871858"
"973289734057132092","973289734099046453"
"973289734057132092","973289734078091321"
"973289734057132092","973289734057132097"
"973289734057132092","991020467529859133"
"997750186996682832","997751238642905088"
"982208360369762314","982210667375366244"
"983413416209285190","997843139861680220"
"994332164768403596","998141489165111376"
"951776421355868231","998934612053078107"
"999711820262674522","999714915864555652"
"996032349638774877","998218206709817424"
"966811756376776724","1000032369379643412"
"1000400822380798053","1000400822422736942"
