"guildID","msgID","lösung"
"1057425944807211050","1105720821575581768",Muttertag
"1105377750157631560","1105784850318884904",Fußball
"1072105544950763592","1106276168509960272",Krieg
"1023565371086741534","1106293568391348326",Affenbande
"1104358848724221993","1106674351954214993",Glühwürmchen
"1104358848724221993","1106674416378724372",Schwarzes Schaf
"1104358848724221993","1106674837105147914",Atomkraftwerk
"1097423390668759070","1106990235163824239",Geschenkkarte
"1102982196496699414","1107008294557597789",Heiratsantrag
"1105893916634529792","1107010016243888178",Arielle
"1094756829805957232","1107010367323914264",Hungry Eyes
"1099347634357018779","1107123635220660356",Happy Meal
"929162256984469558","1107281605288017940",Zyzz
"1062813655063867524","1107311561359503420",Ehestreit
"1053752510772420698","1107320478437228617",Hitzewelle
"931796676774092842","1107327191143956591",Hungry Eyes
"1079807502113316896","1107340411309137981",Life of Pi
"1105893916634529792","1107357258897174679",Rettungsdienst
"962789473324765204","1107540917717577808",Ruhe in Frieden
"925729625580113951","1107667229941698670",Black Widow
"1074560635389624321","1107708260598943804",Roadrunner
"1074565538040254485","1107709841805422632",Blackjack
"993991035485179954","1107730464904597584",Zebra
"1092832016824799315","1107733431749726299",Pinocchio
"1038067079938576394","1107741204449341631",Zyzz
"1008126803812036720","1107929493940752404",Black Widow
"640536364324093954","1107962087398985918",Sandmann
"1097795397390434304","1107968766526095390",Dirty Dancing
"1074340944012390410","1108000510587449364",Photosynthese
"1105475162448609412","1108003764595601418",Fußball
"994332164768403596","1108261240616275978",Cowboy
"1095133511683411978","1108364589667721306",Nagetier
"1095133511683411978","1108366575800692836",Krieg
"975118914667315302","1108403058821566474",Sex and the City
"1072600963946381332","1108405925393477662",Trademark
"1044625104379858944","1108410237368684624",King Kong
"1079095182978469908","1108417547310739511",Hitzewelle
"966597776832069662","1108425337437700137",Springreiten
"1099037921086017548","1108448072570241124",Autobahn
"1013540946052382942","1108482522330964098",Vulkanausbruch
"1092093019760623626","1108511724878958753",Alter Schwede
"1097430178499674185","1108525878889156658",Life of Pi
"1097882210746515566","1108648262929498172",Discord Bot
"1062024439153295481","1108661538384003095",Hungry Eyes
"916429769007067157","1108686143723155466",Zahnstein
